epiweek,mean_tempf,mean_tempf_lag1,mean_tempf_lag2,mean_rh,mean_rh_lag1,mean_rh_lag2
40,57.8249893955462,61.7117380889007,63.1924700239807,61.7758187772926,59.9666121112929,59.1336612021858
41,55.0233298153034,57.8249893955462,61.7117380889007,60.058,61.7758187772926,59.9666121112929
42,52.8868498942919,55.0233298153034,57.8249893955462,59.7460455037919,60.058,61.7758187772926
43,50.369216152019,52.8868498942919,55.0233298153034,62.1885405405406,59.7460455037919,60.058
44,48.3601571091908,50.369216152019,52.8868498942919,62.4514469453377,62.1885405405406,59.7460455037919
45,45.3789330543933,48.3601571091908,50.369216152019,62.0958355579283,62.4514469453377,62.1885405405406
46,42.6198073836276,45.3789330543933,48.3601571091908,62.5512017887088,62.0958355579283,62.4514469453377
47,40.3223672148827,42.6198073836276,45.3789330543933,64.6257352941177,62.5512017887088,62.0958355579283
48,37.8590072835177,40.3223672148827,42.6198073836276,65.0917186613726,64.6257352941177,62.5512017887088
49,35.7712659257251,37.8590072835177,40.3223672148827,67.8393079977311,65.0917186613726,64.6257352941177
50,33.9286618004867,35.7712659257251,37.8590072835177,67.7001699716714,67.8393079977311,65.0917186613726
51,34.4043205197618,33.9286618004867,35.7712659257251,70.454612337295,67.7001699716714,67.8393079977311
52,32.6134761904762,34.4043205197618,33.9286618004867,68.46921778278,70.454612337295,67.7001699716714
53,32.5809756097561,32.6134761904762,34.4043205197618,68.8536945812808,68.46921778278,70.454612337295
1,31.6373834339001,32.5809756097561,32.6134761904762,66.9775426219871,68.8536945812808,68.46921778278
2,32.9480165517241,31.6373834339001,32.5809756097561,68.6842891278374,66.9775426219871,68.8536945812808
3,33.7807531610775,32.9480165517241,31.6373834339001,66.5709773539928,68.6842891278374,66.9775426219871
4,34.5470813921622,33.7807531610775,32.9480165517241,64.3586021505377,66.5709773539928,68.6842891278374
5,34.1073724629732,34.5470813921622,33.7807531610775,63.982587954681,64.3586021505377,66.5709773539928
6,34.244,34.1073724629732,34.5470813921622,65.1648535564854,63.982587954681,64.3586021505377
7,37.332258596974,34.244,34.1073724629732,64.1426778242677,65.1648535564854,63.982587954681
8,37.7052475247524,37.332258596974,34.244,63.4869147659064,64.1426778242677,65.1648535564854
9,39.0891586736092,37.7052475247524,37.332258596974,61.5353432835821,63.4869147659064,64.1426778242677
10,42.0770951859957,39.0891586736092,37.7052475247524,60.3287164179104,61.5353432835821,63.4869147659064
11,46.1971123872026,42.0770951859957,39.0891586736092,58.6891746411483,60.3287164179104,61.5353432835821
12,44.887743702081,46.1971123872026,42.0770951859957,58.098144823459,58.6891746411483,60.3287164179104
13,47.4698854337153,44.887743702081,46.1971123872026,58.6391616766467,58.098144823459,58.6891746411483
14,48.7717215121024,47.4698854337153,44.887743702081,57.7588095238095,58.6391616766467,58.098144823459
15,50.1905623471883,48.7717215121024,47.4698854337153,56.1599048185604,57.7588095238095,58.6391616766467
16,51.3985066521856,50.1905623471883,48.7717215121024,57.8033116499113,56.1599048185604,57.7588095238095
17,53.7896690179056,51.3985066521856,50.1905623471883,57.097762073027,57.8033116499113,56.1599048185604
